"lang"
{
	"Language"		"finnish"
	"Tokens"
	{
		"DAC_ItemType_Default"		"Default"
		"DAC_ItemType_PlayerTitle"		"Player Title"
		"DAC_WearableType_Default"		"Unspecified Wearable Type"
		"DOTA_Item_Abaddon_lvl1"		"Abaddon tasolla 1"
		"DOTA_Item_Abaddon_lvl2"		"Abaddon tasolla 2"
		"DOTA_Item_Abaddon_lvl3"		"Abaddon tasolla 3"
		"DOTA_Item_Alchemist_lvl1"		"Alchemist tasolla 1"
		"DOTA_Item_Alchemist_lvl2"		"Alchemist tasolla 2"
		"DOTA_Item_Alchemist_lvl3"		"Alchemist tasolla 3"
		"DOTA_Item_AntiMage_lvl1"		"Anti-Mage tasolla 1"
		"DOTA_Item_AntiMage_lvl2"		"Anti-Mage tasolla 2"
		"DOTA_Item_AntiMage_lvl3"		"Anti-Mage tasolla 3"
		"DOTA_Item_Axe_lvl1"		"Axe tasolla 1"
		"DOTA_Item_Axe_lvl2"		"Axe tasolla 2"
		"DOTA_Item_Axe_lvl3"		"Axe tasolla 3"
		"DOTA_Item_Batriders_Cloak_lvl2"		"Batrider's Cloak lvl2"
		"DOTA_Item_Batriders_Cloak_lvl3"		"Batrider's Cloak lvl3"
		"DOTA_Item_Batriders_Mount_lvl2"		"Batrider's Mount lvl2"
		"DOTA_Item_Batriders_Mount_lvl3"		"Batrider's Mount lvl3"
		"DOTA_Item_Blood_Seekers_Blade_lvl2"		"Blood Seeker's Blade lvl2"
		"DOTA_Item_Blood_Seekers_Blade_lvl3"		"Blood Seeker's Blade lvl3"
		"DOTA_Item_Blood_Seekers_Headdress_lvl2"		"Blood Seeker's Headdress lvl2"
		"DOTA_Item_Blood_Seekers_Headdress_lvl3"		"Blood Seeker's Headdress lvl3"
		"DOTA_Item_Blood_Seekers_Necklace_lvl2"		"Blood Seeker's Necklace lvl2"
		"DOTA_Item_Blood_Seekers_Necklace_lvl3"		"Blood Seeker's Necklace lvl3"
		"DOTA_Item_Blood_Seekers_Offhand_Blade_lvl2"		"Blood Seeker's Offhand Blade lvl2"
		"DOTA_Item_Blood_Seekers_Offhand_Blade_lvl3"		"Blood Seeker's Offhand Blade lvl3"
		"DOTA_Item_Bounty_Hunters_Offhand_Weapon_lvl3"		"Bounty Hunter's Offhand Weapon lvl3"
		"DOTA_Item_Bounty_Hunters_Shoulder_lvl3"		"Bounty Hunter's Shoulder lvl3"
		"DOTA_Item_Bounty_Hunters_Weapon_lvl3"		"Bounty Hunter's Weapon lvl3"
		"DOTA_Item_Clockwerks_Armor_lvl2"		"Clockwerk's Armor lvl2"
		"DOTA_Item_Clockwerks_Head_lvl2"		"Clockwerk's Head lvl3"
		"DOTA_Item_Clockwerks_Rocket_lvl2"		"Clockwerk's Rocket lvl2"
		"DOTA_Item_Clockwerks_Weapon_lvl2"		"Clockwerk's Weapon lvl2"
		"DOTA_Item_Clockwerks_Weapon_lvl3"		"Clockwerk's Weapon lvl3"
		"DOTA_Item_Crystal_Maidens_Cape_lvl2"		"Crystal Maiden's Cape lvl2"
		"DOTA_Item_Crystal_Maidens_Cape_lvl3"		"Crystal Maiden's Cape lvl3"
		"DOTA_Item_Crystal_Maidens_Headdress_lvl2"		"Crystal Maiden's Headdress lvl2"
		"DOTA_Item_Crystal_Maidens_Headdress_lvl3"		"Crystal Maiden's Headdress lvl3"
		"DOTA_Item_Crystal_Maidens_Shoulder_Pads_lvl2"		"Crystal Maiden's Shoulder Pads lvl2"
		"DOTA_Item_Crystal_Maidens_Shoulder_Pads_lvl3"		"Crystal Maiden's Shoulder Pads lvl3"
		"DOTA_Item_Desc_TestTitle"		"This is a test title"
		"DOTA_Item_Doom_lvl1"		"Doom tasolla 1"
		"DOTA_Item_Doom_lvl2"		"Doom tasolla 2"
		"DOTA_Item_Doom_lvl3"		"Doom tasolla 3"
		"DOTA_Item_Dragon_Knight_lvl1"		"Dragon Knight tasolla 1"
		"DOTA_Item_Dragon_Knight_lvl2"		"Dragon Knight tasolla 2"
		"DOTA_Item_Dragon_Knight_lvl3"		"Dragon Knight tasolla 3"
		"DOTA_Item_Drow_lvl1"		"Drow tasolla 1"
		"DOTA_Item_Drow_lvl2"		"Drow tasolla 2"
		"DOTA_Item_Drow_lvl3"		"Drow tasolla 3"
		"DOTA_Item_Enchantress_lvl1"		"Enchantress tasolla 1"
		"DOTA_Item_Enchantress_lvl2"		"Enchantress tasolla 2"
		"DOTA_Item_Enchantress_lvl3"		"Enchantress tasolla 3"
		"DOTA_Item_Juggernauts_Cape_lvl2"		"Juggernaut's cape tasolla 2"
		"DOTA_Item_Kunkkas_Boots_lvl2"		"Kunkka's Boots lvl2"
		"DOTA_Item_Kunkkas_Hair_lvl2"		"Kunkka's Hair lvl2"
		"DOTA_Item_Kunkkas_Hands_lvl2"		"Kunkka's Hands lvl2"
		"DOTA_Item_Kunkkas_Shoulder_Guard_lvl2"		"Kunkka's Shoulder Guard lvl2"
		"DOTA_Item_Kunkkas_Spyglass_lvl2"		"Kunkka's Spyglass lvl2"
		"DOTA_Item_Kunkkas_Sword_lvl2"		"Kunkka's Sword lvl2"
		"DOTA_Item_Linas_Dress_lvl2"		"Lina's Dress lvl2"
		"DOTA_Item_Linas_Dress_lvl3"		"Lina's Dress lvl3"
		"DOTA_Item_Linas_Hair_lvl2"		"Lina's Hair lvl2"
		"DOTA_Item_Linas_Hair_lvl3"		"Lina's Hair lvl3"
		"DOTA_Item_Linas_Shoulders_lvl2"		"Lina's Shoulders lvl2"
		"DOTA_Item_Linas_Shoulders_lvl3"		"Lina's Shoulders lvl3"
		"DOTA_Item_Linas_Sleeves_lvl2"		"Lina's Sleeves lvl2"
		"DOTA_Item_Linas_Sleeves_lvl3"		"Lina's Sleeves lvl3"
		"DOTA_Item_Luna_lvl1"		"Luna tasolla 1"
		"DOTA_Item_Luna_lvl2"		"Luna tasolla 2"
		"DOTA_Item_Luna_lvl3"		"Luna tasolla 3"
		"DOTA_Item_Lycan_lvl1"		"Lycan tasolla 1"
		"DOTA_Item_Lycan_lvl2"		"Lycan tasolla 2"
		"DOTA_Item_Lycan_lvl3"		"Lycan tasolla 3"
		"DOTA_Item_Natures_Prophet_lvl1"		"Nature's Prophet tasolla 1"
		"DOTA_Item_Natures_Prophet_lvl2"		"Nature's Prophet tasolla 2"
		"DOTA_Item_Natures_Prophet_lvl3"		"Nature's Prophet tasolla 3"
		"DOTA_Item_Ogre_Magis_Belt_lvl2"		"Ogre Magi's Belt lvl2"
		"DOTA_Item_Ogre_Magis_Belt_lvl3"		"Ogre Magi's Belt lvl3"
		"DOTA_Item_Ogre_Magis_Cape_lvl2"		"Ogre Magi's Cape lvl2"
		"DOTA_Item_Ogre_Magis_Cape_lvl3"		"Ogre Magi's Cape lvl3"
		"DOTA_Item_Ogre_Magis_Hats_lvl2"		"Ogre Magi's Hats lvl2"
		"DOTA_Item_Ogre_Magis_Hats_lvl3"		"Ogre Magi's Hats lvl3"
		"DOTA_Item_Ogre_Magis_Weapon_lvl2"		"Ogre Magi's Weapon lvl2"
		"DOTA_Item_Ogre_Magis_Weapon_lvl3"		"Ogre Magi's Weapon lvl3"
		"DOTA_Item_Omniknight_lvl1"		"Omniknight tasolla 1"
		"DOTA_Item_Omniknight_lvl2"		"Omniknight tasolla 2"
		"DOTA_Item_Omniknight_lvl3"		"Omniknight tasolla 3"
		"DOTA_Item_Phantom_Assassin_lvl1"		"Phantom Assassin (taso 1)"
		"DOTA_Item_Phantom_Assassin_lvl2"		"Phantom Assassin (taso 2)"
		"DOTA_Item_Phantom_Assassin_lvl3"		"Phantom Assassin (taso 3)"
		"DOTA_Item_Puck_lvl1"		"Puck tasolla 1"
		"DOTA_Item_Puck_lvl2"		"Puck tasolla 2"
		"DOTA_Item_Puck_lvl3"		"Puck tasolla 3"
		"DOTA_Item_Queen_of_Pains_Armor_lvl2"		"Queen of Pain's Armor lvl2"
		"DOTA_Item_Queen_of_Pains_Armor_lvl3"		"Queen of Pain's Armor lvl3"
		"DOTA_Item_Queen_of_Pains_Hair_lvl2"		"Queen of Pain's Hair lvl2"
		"DOTA_Item_Queen_of_Pains_Hair_lvl3"		"Queen of Pain's Hair lvl3"
		"DOTA_Item_Queen_of_Pains_Weapon_lvl2"		"Queen of Pain's Weapon lvl2"
		"DOTA_Item_Queen_of_Pains_Weapon_lvl3"		"Queen of Pain's Weapon lvl3"
		"DOTA_Item_Queen_of_Pains_Wings_lvl2"		"Queen of Pain's Wings lvl2"
		"DOTA_Item_Queen_of_Pains_Wings_lvl3"		"Queen of Pain's Wings lvl3"
		"DOTA_Item_Shadow_Shaman_lvl1"		"Shadow Shaman (taso 1)"
		"DOTA_Item_Shadow_Shaman_lvl2"		"Shadow Shaman (taso 2)"
		"DOTA_Item_Shadow_Shaman_lvl3"		"Shadow Shaman (taso 3)"
		"DOTA_Item_TestTitle"		"Test Title"
		"DOTA_Item_Timbersaw_lvl1"		"Timbersaw tasolla 1"
		"DOTA_Item_Timbersaw_lvl2"		"Timbersaw tasolla 2"
		"DOTA_Item_Timbersaw_lvl3"		"Timbersaw tasolla 3"
		"DOTA_Item_Treant_Protector_lvl1"		"Treant Protector tasolla 1"
		"DOTA_Item_Treant_Protector_lvl2"		"Treant Protector tasolla 2"
		"DOTA_Item_Treant_Protector_lvl3"		"Treant Protector tasolla 3"
		"DOTA_Item_Venomancer_lvl1"		"Venomancer tasolla 1"
		"DOTA_Item_Venomancer_lvl2"		"Venomancer tasolla 2"
		"DOTA_Item_Venomancer_lvl3"		"Venomancer tasolla 3"
		"DOTA_WearableType_Unspecified_Wearable_Type"		"Unspecified Wearable Type"
	}
}
