"dac"
{
	// General Strings
	"OK"												"OK"
	"Cancel"											"Cancel"
	"LetsGo"											"Let's Go"
	"generic_error_header"								"Error"	
	"DAC_InvalidPersonaName"							"[unknown]"
	"DAC_PlayerName_Bot"								"Bot"

	"or"												"or"

	"DAC_ConnectingToSteam"								"Connecting to Steam..."
	"DAC_ConnectingToGC"								"Connecting to GC, this can take a few seconds..."

	"DAC_Go_Online"										"Play Online"
	"DAC_SteamLogIn_Title"								"Log into Steam"
	"DAC_SteamLogIn_Desc1"								"Sign in to Steam to play multiplayer games, level up your Underlord rank, and track your progress across mobile and PC."
	"DAC_SteamLogIn_Desc2"								"Level up your Underlord rank and track your progress across mobile, tablet, and PC."
	"DAC_SteamLogIn_Desc3"								"Earn achievements and get access to Seasonal Battlepass features."
	"DAC_SteamLogIn_Desc4"								"Sign in to Steam to play this mode."
	"DAC_SteamPlayOffline"								"Cancel"
	"DAC_SteamAccountName"								"Steam Account Name" 
	"DAC_SteamAccountPassword"							"Password"
	"DAC_SteamGuardCode"								"Steam Guard Code"
	"DAC_SteamAccountLogin"								"Sign In"
	"DAC_SteamAcountStoreCredentials"					"Remember Me"
	"DAC_SteamCreateAccount"							"Create Account"
	"DAC_SteamLogIn_Help"								"Need Help?"
	"DAC_SteamLogIn_Forgot"								"Forgot Password?"
	"DAC_SteamLogIn_Connecting"							"Connecting to Steam"
	"DAC_SteamLogOut"									"Log Out"
	"DAC_LandingSubtitle"								"Private Beta"
	"DAC_InvisibleMode"									"Appear offline to Steam friends while playing"
	"DAC_SteamCreateNewAccount"							"Don't have an account?"

	"DAC_MatchTypeMultiplayer"							"Multiplayer"
	"DAC_MatchTypeStandard"								"Standard"
	"DAC_MatchTypeOnline"								"Online"
	"DAC_MatchTypeTurbo"								"Knockout"
	"DAC_MatchTypeMultiplayerMMSelect"					"Select Type"
	"DAC_MatchTypeName0"								"Casual"
	"DAC_MatchTypeNameRanked"							"Ranked"
	"DAC_MatchTypeBotTeammate"							"Bot Teammate"
	"DAC_MatchTypeInviteAFriend"						"Invite a Friend"
	"DAC_MatchTypeNameRankedLocked1"					"Play {i:games_needed_to_unlock_ranked} casual game to unlock"
	"DAC_MatchTypeNameRankedLockedPlural"				"Play {i:games_needed_to_unlock_ranked} casual games to unlock"
	"DAC_MatchTypeBotMatch"								"Bot Match"
	"DAC_MatchTypeNameDuos"								"Duos"
	"DAC_MatchTypeDuosBotMatch"							"Duos Bot Match"
	"DAC_MatchTypeName1_Party"							"Private Lobby"
	"DAC_MatchTypeName1"								"Classic"
	"DAC_MatchTypeName7"								"Tutorial"
	"DAC_MatchTypeName2"								"Knockout"
	"DAC_MatchTypeName3"								"Duos"
	"DAC_MatchTypeName5"								"Freestyle"
	"DAC_MatchOpponent"									"Opponent"
	"DAC_MatchResume"									"Resume"
	"DAC_MatchTeammate"									"Teammate"
	"DAC_MatchType"										"Match Type"
	"DAC_FreestyleDesc"									"In this mode you have full control of the board, and can create any scenario you can think of. Use it to explore army compositions, or test new hypotheses. You can then share your design with friends and the community."
	"DAC_DBHome_Play_Party"								"Party Match"
	"DAC_DBHome_Searching_Party"						"Finding a match"
	"DAC_ReplayTheTutorial"								"Replay the tutorial"
	"DAC_ComingSoon"									"Coming Soon"
	"DAC_MatchTypeNameDuosState_SoloWithBots"			"Join a bot teammate and battle other players"
	"DAC_MatchTypeNameDuosState_PartyWithBots"			"Some players will have a bot for a teammate"
	"DAC_MatchTypeNameDuosState_NoParty"				"Requires a party of at least 2 players"
	"DAC_MatchTypeNameDuosState_NeedBuddy"				"Your party is too small for this mode"
	"DAC_MatchTypeNameDuosState_NeedBuddyOrBot"			"Invite a friend or select bot teammate"
	"DAC_MatchTypeNameDuosState_ExcessBuddies"			"Your party is too large for this mode"
	"DAC_MatchTypeNameDuosState_TooManyPlayersOnTeam"	"There are too many players on a team. Select to manage."
	"DAC_MatchTypeNameDuosState_CantFillTeams"			"There are not enough people to create teams of 2 for everyone"
	"DAC_MatchTypeNameDuosState_NotReady"				"Not all team members are ready"
	"DAC_DBHome_Mobile_Play"							"Play"
	"DAC_DBHome_Mobile_PlayAudio"						"Play"
	"DAC_DBHome_Mobile_Play_Now"						"Play Now"
	"DAC_VS"											"VS"
	"DAC_Teammate"										"Teammate"
	"DuosAboutLabel"									"What is Duos?"
	"DAC_MatchTypeDescOnline"							"Play a match against other players online"
	"DAC_MatchTypeDescStandard"							"Deeper, more strategic match"
	"DAC_MatchTypeDescTurbo"							"Fast-paced match, four strikes and you’re out"
	"DAC_MatchTypeDescDuos"								"Team-up with a friend in a standard match"
	"DAC_MatchTypeDescTraining"							"Explore army compositions or test new strategies"
	"DAC_MatchTypeDescDuosCasual"						"Party-up with a friend or bot and battle online"
	"DAC_MatchTypeDescDuosRanked"						"Party-up with a friend and battle online"
	"DAC_MatchTypeDescBots"								"Play a single player match against AI"	
	"DAC_MatchTypeDescResume"							"Resume your last match against AI"	
	"DAC_MatchTypeDescTurboBots"						"Play a single player Knockout match against AI"
	"DAC_MatchTypeDescDuosBots"							"Play with an AI teammate in a Duos bot match"	
	"DAC_MatchTypeDescFreestyle"						"Set up and test mock battles without limitation"	
	"DAC_MatchTypeDescTutorial"							"Learn the basics of Underlords"
	"DAC_MatchTypeDescFreestyle2"						"In this mode you have full control of the board, and can create any scenario you can think of. Use it to explore army compositions, or test new hypotheses.  You can then share your design with friends and the community."	
	"DAC_Play_Duos_Invite"								"Invite Friend"

	"DAC_Training"										"Training"

	"DAC_OpenFreestyleMenu"								"Open Freestyle Menu"
	"DAC_CloseFreestyleMenu"							"Close Freestyle Menu"

	"DAC_DBHome_ReadyUp"								"Ready Up"
	"DAC_DeselectUnderlord"								"Deselect Underlord"
	"DAC_SelectUnderlord"								"Select Underlord"
	"DAC_DBHome_Party_Member_Not_Ready"					"Not All Players Ready"
	"DAC_ResumeInfo_Round"								"Round"
	"DAC_ResumeInfo_Desc"								"{s:resume_mode} Match - Round {i:resume_round}"
	"DAC_ResumeInfo_Timestamp"							"{t:s:resume_timestamp} at {t:t:resume_timestamp}"

	"DAC_PreMatchDetails_FindMatch"						"Find Match"
	"DAC_PreMatchDetails_BeginMatch"					"Begin Match"
	"DAC_Start"											"Start"

	"DAC_AlertPlayer_MatchReadyTitle"					"Matchmaking Status"
	"DAC_AlertPlayer_MatchReadyText"					"Your game is ready"

	"GC_reconnecting"									"Restoring connection to the Dota Underlords Network..."
	"GC_nosteam"										"Lost connection to Steam"
	"GC_steamoffline"									"- Offline Mode -"
	"GC_searching"										"Searching for the Dota Underlords Network..."
	"GC_noconnection"									"Not connected to the Dota Underlords Network."
	"GC_connecting"										"Connecting to the Dota Underlords Network..."
	"GC_connected"										"Connected to the Dota Underlords Network."
	"GC_down"											"The Dota Underlords Network is temporarily offline."
	"GC_updating"										"The Dota Underlords Network is currently being updated..."
	"GC_logging_in"										"Connected to the Dota Underlords Network; logging in..."
	"GC_steamupdating"									"The Steam servers are currently being updated..."
	"GC_Network_Full"									"The Dota Underlords Network is currently full."
